story_id,area,priority,precondition,action,expected,observed,status,bug_id,evidence,updated_at
US-011,spend,P1,"Wallet has sufficient balance","Spend or top up eSIM","Amount validation is clear and both paired wallets converge after settlement","Internal demo top-up reduced paired balance from US$1 to US$0 and passed.",passed,,"tests/e2e/auto-pairing.spec.ts",2026-08-15
US-012,recovery,P0,"Mint or relay is temporarily unavailable","Perform or resume an operation","Visible progress remains honest and the app retries/reconciles automatically","Stopped the project relay; Asus showed Reconnecting wallet… and retained US$1, then relay restart restored Wallet synchronized.",passed,BUG-006,"/tmp/ui-asus-status-disconnected.xml; /tmp/ui-asus-status-reconnected.xml",2026-08-15
US-013,recovery,P0,"Operation is pending during reload","Reload or resume app","Journal reconciliation completes without duplicate mint or melt","Paired Device B reloaded after mint and retained synchronized US$1 without duplicate credit.",passed,BUG-005,"tests/e2e/auto-pairing.spec.ts; v0WalletService.test.ts",2026-08-15
US-014,camera,P1,"Camera is denied or unavailable","Open QR scanner","Actionable camera error appears instead of a blank dialog","QrcodeReader now renders a camera error when start() rejects.",passed,BUG-001,"src/components/QrcodeReader.vue",2026-08-15
US-015,security,P0,"Configured wallet is open","Inspect generated QR and URL","Only short-lived encrypted pairing data is exposed","QR text contained encrypted quick_pair data only.",passed,,"/tmp/qr-decode.json",2026-08-15
US-016,android,P0,"Asus has internet access","Open public wallet","Configured mint is reachable and wallet does not show HTTPS validation error","Asus opened silentlink.fly.dev over HTTPS, created a public-mint invoice, claimed US$1, and showed the configured mint.",passed,BUG-002,"/tmp/asus-public-online.png; /tmp/asus-public-invoice.png; /tmp/asus-public-after-claim.png",2026-08-15
BUG-001,bug,P1,"QR scanner start rejects","Open scanner","User sees actionable camera state","Blank failure state was replaced with an alert; source and lint pass.",fixed,,"src/components/QrcodeReader.vue",2026-08-15
BUG-002,bug,P0,"Android uses wrong or stale local service endpoints","Boot wallet and request invoice","Wallet points to reachable mint and project relay","3334 was occupied by another local gateway and the stale build produced HTTPS validation/sync errors; corrected QA setup and verified recovery.",fixed,,"/tmp/ui-wallet-after-reverse.txt; /tmp/ui-wallet-relay-fixed.xml",2026-08-15
BUG-004,bug,P0,"quick_pair URL opens SyncSettings","Open incoming URL","Incoming route cannot show create-pairing controls","Normal create-pairing UI conflicted with import flow; dedicated incoming state added.",fixed,,"src/pages/settings/SyncSettings.vue",2026-08-15
BUG-005,bug,P0,"Paired wallet receives a competing pending snapshot","Run mint and sync on both wallets","Losing device pulls the accepted winner instead of remaining Pending","syncNow now pulls after an aborted prepared-operation race; unit and live e2e pass.",fixed,,"src/sync/v0WalletService.ts; tests/e2e/auto-pairing.spec.ts",2026-08-15
BUG-006,bug,P1,"Relay is unavailable while wallet retains local balance","Observe the wallet header and sync status","Network connectivity and wallet synchronization state are not conflated","Wallet previously showed Offline beside Wallet synchronized; the badge now says Network offline and the wallet status shows Reconnecting wallet….",fixed,,"src/i18n/en-US/index.ts; src/pages/V0WalletPage.vue",2026-08-15
US-017,topup,P1,"Paired wallet is synchronized","Buy 0.50, 1.25, 3, and 10","Different denominations settle exactly and converge","Public Fly E2E settled all four values; final paired balance before spending was US$14.75.",passed,,"wallet/tests/e2e/public-deep-wallet.spec.ts; wallet/src/sync/v0WalletService.ts",2026-08-15
US-018,spend,P1,"Paired wallet has mixed denominations","Spend 0.75 then 2.50","Non-exact denominations spend safely and both wallets converge","Public Fly E2E settled both spends; paired balance converged to US$11.50.",passed,,"wallet/tests/e2e/public-deep-wallet.spec.ts; wallet/src/sync/v0WalletService.ts",2026-08-15
US-019,recovery,P0,"Wallet has synchronized history","Export encrypted backup, reject wrong passphrase, restore with correct passphrase","Backup restores balance and history without plaintext export","Public Fly E2E rejected the wrong passphrase, restored the wallet, and recovered US$11.50 with six accounting rows.",passed,,"wallet/tests/e2e/public-deep-wallet.spec.ts",2026-08-15
US-020,recovery,P1,"Wallet has paired activity","Reload both wallets after multiple operations","Both devices return synchronized with the same balance and history","Public Fly E2E reloaded both devices and retained US$11.50 and six accounting rows.",passed,,"wallet/tests/e2e/public-deep-wallet.spec.ts",2026-08-15
US-021,race,P0,"Two paired wallets have the same seed and counters","Mint US$2 and US$4 concurrently","One operation commits and the other aborts or regenerates outputs without a stuck operation","Public Fly E2E reproduced HTTP 400 outputs already signed; both retries stayed in payment recovery and did not settle.",failed,BUG-008,"wallet/tests/e2e/public-deep-wallet.spec.ts; cashu-sync-mint.fly.dev logs",2026-08-15
US-022,race,P0,"Two paired wallets have available balance","Spend US$1 and US$2 concurrently","Competing spends reconcile or abort cleanly without leaving the wallet blocked","Public Fly E2E left both melt dialogs visible with Your spend is still being recovered; neither concurrent spend settled.",failed,BUG-008,"wallet/tests/e2e/public-deep-wallet.spec.ts",2026-08-15
BUG-007,bug,P1,"Internal demo spend amount is not an existing proof denomination","Spend a valid smaller amount","Demo path splits proofs through the mint and preserves change","Changed the demo path to use a journal-independent mint swap for change; targeted v0WalletService tests pass and public 2.50 spend passes.",fixed,,"wallet/src/sync/v0WalletService.ts; wallet/src/sync/__tests__/v0WalletService.test.ts; wallet/tests/e2e/public-deep-wallet.spec.ts",2026-08-15
BUG-008,bug,P0,"Two paired wallets submit operations at the same time","Run concurrent mint or melt","Counter/output conflicts are recoverable and do not leave pending operations stuck","Reproduced publicly: duplicate Cashu mint outputs produce 400 outputs already signed, then both mint and melt retries remain in recovery.",open,,"wallet/tests/e2e/public-deep-wallet.spec.ts; cashu-sync-mint.fly.dev logs",2026-08-15
